"区县","街道","累计病例","当日新增病例","确诊病例","疑似病例"
"白云区"," ",8,0,4,4
"白云区","松洲街",4,0,2,2
"白云区","金沙街",2,0,0,2
"白云区","太和镇",2,0,2,0
"番禺区"," ",3,0,1,2
"番禺区","洛浦街",1,0,0,1
"番禺区","南村镇",1,0,0,1
"番禺区","市桥街",1,0,1,0
"海珠区"," ",20,0,8,12
"海珠区","海幢街",9,0,3,6
"海珠区","素社街",3,0,1,2
"海珠区","龙凤街",2,0,1,1
"海珠区","昌岗街",1,0,1,0
"海珠区","凤阳街",1,0,0,1
"海珠区","江南中",1,0,1,0
"海珠区","南石头",1,0,1,0
"海珠区","瑞宝街",1,0,0,1
"海珠区","沙园街",1,0,0,1
"花都区","新华街",1,0,1,0
"花都区"," ",1,0,1,0
"黄埔区","黄埔街",1,0,0,1
"黄埔区"," ",1,0,0,1
"荔湾区"," ",45,2,31,14
"荔湾区","南源街",11,0,6,5
"荔湾区","多宝街",8,0,6,2
"荔湾区","逢源街",7,0,6,1
"荔湾区","岭南街",3,0,2,1
"荔湾区","龙津街",3,0,2,1
"荔湾区","茶滘街",2,1,2,0
"荔湾区","金花街",2,0,2,0
"荔湾区","桥中街",2,0,1,1
"荔湾区","石围塘",2,0,0,2
"荔湾区","西村街",2,0,2,0
"荔湾区","不详乡",1,1,0,1
"荔湾区","彩虹街",1,0,1,0
"荔湾区","冲口街",1,0,1,0
"天河区"," ",7,0,5,2
"天河区","五山街",6,0,4,2
"天河区","天园街",1,0,1,0
"越秀区"," ",11,0,5,6
"越秀区","六榕街",6,0,3,3
"越秀区","矿泉街",3,0,2,1
"越秀区","登峰街",1,0,0,1
"越秀区","光塔街",1,0,0,1
"增城区"," ",12,2,4,8
"增城区","增江街",8,1,3,5
"增城区","新塘镇",4,1,1,3
"合计"," ",108,4,59,49
